"","IDN","ISBN","year","author","language","title","uniform.title","publisher","country","id"
"1494","990057741950603392","9789547337817","2013","Mayer, AnnaElisabeth","bul","Kategorija ""Mucha""","Fliegengewicht","[Sofija]","XA-BG","onb990057741950603392"
"1497","990042381920603392","9788072945610","2012","Glattauer, Daniel","cze","Každá sedmá vlna","Alle sieben Wellen","Brno","XA-CZ","onb990042381920603392"
"1498","990049800410603392","9788025903797","2015","Meyerhoff, Joachim","cze","Kdy bude konečně zase všechno takové, jaké to nikdy nebylo","Wann wird es endlich wieder so, wie es nie war","Praha","XA-CZ","onb990049800410603392"
"1500","990049070570603392","9786188140868","2015","Rilke, Rainer Maria","gre","Keimena gia tē muzikē","fail","Athēna","XA-GR","onb990049070570603392"
"1501","990045156650603392","9789173535809","2012","Roth, Joseph","swe","Kejsarbysten och andra noveller","fail","Stockholm","XA-SE","onb990045156650603392"
"1507","990042373910603392","9789632632377","2012","Glauser, Friedrich","hun","A kínai","<<Der>> Chinese <<ungar.>>","Budapest","XA-HU","onb990042373910603392"
"1508","9958807230203338","9789493186026","2020","Lavant, Christine","dut","Het kind","<<Das>> Kind","[Bleiswijk]","XA-NL","onb9958807230203338"
"1512","990049155050603392","9789750834059","2015","Bernhard, Thomas","tur","Kireç ocağı","<<Das>> Kalkwerk","İstanbul","XB-TR","onb990049155050603392"
"1517","990050268590603392","9786059691369","2016","Handke, Peter","tur","Kısa mektup uzun veda","<<Der>> kurze Brief zum langen Abschied","Çekmeköy, İstanbul","XB-TR","onb990050268590603392"
"1520","990045023930603392","9789045019109","2012","Adler, Hans","dut","De kleine stad","<<Das>> Städtchen","Amsterdam [u.a.]","XA-NL","onb990045023930603392"
"1522","9958862856703338","9789600121728","2020","Handke, Peter","gre","Ē klephtra tōn phrutōn ē Aplo taxidi stēn endochōra","<<Die>> Obstdiebin","Athēna","XA-GR","onb9958862856703338"
"1525","990048747470603392","9789610135326","2014","Flašar, Milena Michiko","slv","Klical sem ga Kravata","Ich nannte ihn Krawatte","Ljubljana","XA-SI","onb990048747470603392"
"1527","990048890290603392","9785990644014","2015","Rilke, Rainer Maria","rus","Kniga časov","<<Das>> Stundenbuch","Moskva","XA-RU","onb990048890290603392"
"1531","9958887346303338","9788090769922","2020","Zweig, Stefan","cze","Knihomol","Amok","V Praze","XA-CZ","onb9958887346303338"
"1533","990044612340603392","9789660357952","2012","Jelinek, Elfriede","ukr","Kochanky","<<Die>> Liebhaberinnen","Charkiv","XA-UA","onb990044612340603392"
"1538","990048499410603392","9789755707044","2015","Canetti, Elias","tur","Körleşme","<<Die>> Blendung","Çemberlitaş, İstanbul","XB-TR","onb990048499410603392"
"1539","9958599175503338","9789540203508","2019","Mitgutsch, Anna","bul","Kogato se zavărneš","Wenn du wiederkommst","Sofija","XA-DE-BE","onb9958599175503338"
"1540","990046402860603392","9789985324493","2012","Glattauer, Daniel","est","Kõik seitse lainet","Alle sieben Wellen","Tallinn","XA-EE","onb990046402860603392"
"1541","990048816790603392","9789523301504","2016","Salten, Felix","fin","Koiramme Firenzessä","<<Der>> Hund von Florenz","Helsinki","XA-FI","onb990048816790603392"
"1543","9958807669303338","9789527269916","2020","Seethaler, Robert","fin","Kokonainen elämä","<<Ein>> ganzes Leben","Helsinki","XA-FI","onb9958807669303338"
"1544","9958513753103338","9789549621723","2018","Ransmayr, Christoph","bul","Koks ili Chodăt na vremeto","Cox","Sofija","XA-BG","onb9958513753103338"
"1545","9958513078803338","9788661452710","2017","Ransmayr, Christoph","srp","Koks ili Tok vremena","Cox oder Der Lauf der Zeit","Beograd","XA-RS","onb9958513078803338"
"1546","990049080670603392","9789542915874","2016","Rudoll, Ronald","bul","Kolednijat podarăk","fail","Sofija","XA-BG","onb990049080670603392"
"1547","990047240150603392","9788373924659","2014","Trojanow, Ilija","pol","Kolekcjoner światów","<<Der>> Weltensammler","Warszawa","XA-PL","onb990047240150603392"
"1548","990050359560603392","9789518517026","2016","Bernhard, Thomas","fin","Kolme pienoisromaania","Watten","Helsinki","XA-FI","onb990050359560603392"
"1549","9958513075203338","9788073041526","2012","Becker, Zdenka","cze","Kolombina","Taubenflug","Praha","XA-CZ","onb9958513075203338"
"1553","990048911210603392","9786094441547","2015","Singer, Lea","lit","Koncertas kairiajai rankai","Konzert für die linke Hand","Vilnius","XA-LT","onb990048911210603392"
"1568","9958497377503338","9788679581792","2017","Bernhard, Thomas","srp","Korektura","Korrektur","Beograd","XA-RS","onb9958497377503338"
"1569","9959003603203338","9788087048764","2022","Lavant, Christine","cze","Kořeny hoře","fail","Praha","XA-CZ","onb9959003603203338"
"1570","990047993890603392","9786053325017","2015","Zweig, Stefan","tur","Korku","Angst","Istanbul","XB-TR","onb990047993890603392"
"1571","990047240110603392","9789187179440","2014","Bernhard, Thomas","swe","Korrigering","Korrektur","Stockholm","XA-SE","onb990047240110603392"
"1573","9958599069203338","9789538039409","2019","Knapp, Radek","hrv","Kradljivac vrhova","<<Der>> Gipfeldieb","Zagreb","XA-HR","onb9958599069203338"
"1574","9958986005303338","9788652144808","2022","Handke, Peter","srp","Kradljivica voća ili Jednostavno putovanje u unutrašnjost zemlje","<<Die>> Obstdiebin","Beograd","XA-RS","onb9958986005303338"
"1575","9958545366403338","9786191761227","2018","Altenberg, Peter","bul","Kraj ezeroto","Am Ufer des Sees","Sofija","XA-BG","onb9958545366403338"
"1579","9958884550903338","9788072534210","2020","EbnerEschenbach, Marie ","cze","Krambambuli","Krambambuli","[Praha]","XA-CZ","onb9958884550903338"
"1580","990048120130603392","9788024246581","2015","Riebe, Brigitte","cze","Krásná Filipína","<<Die>> schöne Philippine Welserin","Praha","XA-CZ","onb990048120130603392"
"1581","9958952306703338","9786082479651","2017","Handke, Peter","mac","Kratko pismo za dolga razdelba","<<Der>> kurze Brief zum langen Abschied","Skopje","XA-MK","onb9958952306703338"
"1582","9958764142703338","9788652136872","2020","Handke, Peter","srp","Kratko pismo za dugi rastanak","<<Der>> kurze Brief zum langen Abschied","Beograd","XA-RS","onb9958764142703338"
"1583","9958821467903338","9788205536807","2019","Handke, Peter","nor","Kravløs ulykke","Wunschloses Unglück","[Oslo]","XA-NO","onb9958821467903338"
"1584","9958900148003338","9788679582751","2021","Bernhard, Thomas","srp","Krečana","<<Das>> Kalkwerk","Beograd","XA-RS","onb9958900148003338"
"1585","990048441940603392","9788274884748","2015","Waterhouse, Peter","nor","Krig og verden","Krieg und Welt","Oslo","XA-NO","onb990048441940603392"
"1589","990047423000603392","9788378660897","2015","Roth, Joseph","pol","Krypta kapucynów","<<Die>> Kapuzinergruft","Kraków [u.a.]","XA-PL","onb990047423000603392"
"1590","990049507350603392","9789605051501","2014","Roth, Joseph","gre","Ē kryptē tōn Kaputsinōn","<<Die>> Kapuzinergruft","Athēna","XA-GR","onb990049507350603392"
"1593","9958513058703338","9789533400532","2017","Mitgutsch, Anna","hrv","Kuća iz djetinjstva","Haus der Kindheit","Zagreb","XA-HR","onb9958513058703338"
"1599","990057731400603392","9789542915522","2014","Schnitzler, Arthur","bul","Kuklovodăt","Kuklovodăt","Sofija","XA-BG","onb990057731400603392"
"1600","990038885180603392","9788392942962","2010","Jelinek, Elfriede","pol","Kupieckie kontrakty","<<Die>> Kontrakte des Kaufmanns","Kraków","XA-PL","onb990038885180603392"
"1601","990048054730603392","9784864500272","2012","Musil, Robert","jpn","Kurādīne no ai","<<Die>> Vollendung der Liebe","Tōkyō","XB-JP","onb990048054730603392"
"1602","990048235420603392","9789525850420","2014","Flašar, Milena Michiko","fin","Kutsuin häntä Solmioksi","Ich nannte ihn Krawatte","Helsinki","XA-FI","onb990048235420603392"
"1603","990047360320603392","9788074911712","2015","Menasse, Eva","cze","Kvazikrystaly","Quasikristalle","Brno","XA-CZ","onb990047360320603392"
"1604","990047071230603392","9788090445567","2010","Futscher, Christian","cze","Květy krve","<<Die>> Blumen des Blutes","Praha","XA-CZ","onb990047071230603392"
"1605","990051186270603392","9789187891472","2016","Werfel, Franz","swe","En kvinnas blekblå handskrift","<<Eine>> blassblaue Frauenschrift","Stockholm","XA-SE","onb990051186270603392"
"1606","990045999540603392","9789525850352","2013","Bernhard, Thomas","fin","Kyllä","Ja","Helsinki","XA-FI","onb990045999540603392"
"1608","990049205210603392","9789604616749","2015","Aichner, Bernhard","gre","Ē kyria Thanatos","Totenfrau","Athēna","XA-GR","onb990049205210603392"
"1609","9958882334803338","9788412230772","2021","Roth, Joseph","cat","La marxa Radetzky","Radetzkymarsch","Barcelona","XA-ES","onb9958882334803338"
"1613","9958575280003338","9788416291250","2016","Hackl, Erich","spa","El lado vacío del corazón","Familie Salzmann","Cáceres","XA-ES","onb9958575280003338"
"1614","9958779568703338","9789897830624","2020","Handke, Peter","por","A ladra de fruta","Die Obstdieben","Lisboa","fail","onb9958779568703338"
"1615","9958797480403338","9788823522411","2019","Handke, Peter","ita","La ladra di frutta o Un semplice viaggio nell'entroterra","<<Die>> Obstdiebin","Milano","XA-IT","onb9958797480403338"
"1616","9958589477103338","9788491818014","2019","Handke, Peter","spa","La ladrona de fruta o Viaje de ida al interior del país","<<Die>> Obstdiebin","Madrid","XA-ES","onb9958589477103338"
"1617","9958513796803338","9788075113870","2018","Rohr, Angela","cze","Lágr","Lager","Praha","XA-CZ","onb9958513796803338"
"1618","9958548169903338","9789655122732","2017","Bernhard, Thomas","heb","La-ḥaṭov ʿetsim","Holzfällen","Tel Aviv","XB-IL","onb9958548169903338"
"1622","990038264640603392","9789994351718","2011","Jelinek, Elfriede","alb","Lakmia","Gier","Tirana","XA-AL","onb990038264640603392"
"1626","9958589477503338","9789100183547","2019","Handke, Peter","swe","Långsam hemkomst","Langsame Heimkehr","[Stockholm]","XA-SE","onb9958589477503338"
"1627","9958827077703338","9789492313973","2020","Handke, Peter","dut","Langzame terugkeer","Langsame Heimkehr","[Amsterdam]","XA-NL","onb9958827077703338"
"1631","990050010500603392","9781782272397","2017","Urzidil, Johannes","eng","The last bell","Letztes Läuten","London","XA-GB","onb990050010500603392"
"1634","990049804130603392","9789021458793","2015","Schnitzler, Arthur","dut","Late roem","Später Ruhm","Amsterdam","XA-NL","onb990049804130603392"
"1637","990049800710603392","9788416396085","2015","Flašar, Milena Michiko","spa","Le llamé Corbata","Ich nannte ihn Krawatte","Madrid","XA-ES","onb990049800710603392"
"1638","990047384170603392","9789632632490","2012","Kisch, Egon Erwin","hun","A leánycsősz","<<Der>> Mädchenhirt","Budapest","XA-HU","onb990047384170603392"
"1639","9958548459603338","9788671881630","2016","Schindel, Robert","srp","Ledeni","<<Der>> Kalte","Novi Sad","XA-RS","onb9958548459603338"
"1641","9958799874103338","9780241457672","2020","Handke, Peter","eng","The left-handed Woman","<<Die>> linkshändige Frau","London","XA-GB","onb9958799874103338"
"1642","9958820973603338","9781250767301","2020","Handke, Peter","eng","The left-handed women","<<Die>> linkshändige Frau","New York","XD-US","onb9958820973603338"
"1644","9958995001503338","9788689901887","2021","Roth, Joseph","srp","Legenda o svetom pijancu","<<Die>> Legende vom heiligen Trinker","Beograd","XA-RS","onb9958995001503338"
"1645","990050019390603392","9788378661429","2016","Roth, Joseph","pol","Legenda o świętym pijaku i inne opowiadania","<<Die>> Legende vom heiligen Trinker","Kraków","XA-PL","onb990050019390603392"
"1647","990049156280603392","9789542915683","2015","Roth, Joseph","bul","Legenda za pijanicata svetec","<<Die>> Legende vom heiligen Trinker","Sofija","XA-BG","onb990049156280603392"
"1649","990049985970603392","9782955219034","2016","Zweig, Stefan","fre","Légende d'une vie","Legende eines Lebens","Paris","XA-FR","onb990049985970603392"
"1652","990051197330603392","9788274883833","2014","Roth, Joseph","nor","Legenden om den hellige drankeren","Legenden om den hellige drankere","Oslo","XA-NO","onb990051197330603392"
"1653","9958540972303338","9788817058261","2015","Roth, Joseph","ita","La leggenda del santo bevitore","<<Die>> Legende vom heiligen Trinker","Milano","XA-IT","onb9958540972303338"
"1654","990049796540603392","9788806226251","2015","Roth, Joseph","ita","La leggenda del santo bevitore","<<Die>> Legende vom heiligen Trinker","Torino","XA-IT","onb990049796540603392"
"1655","9958544878003338","9788854185791","2016","Roth, Joseph","ita","La leggenda del santo bevitore","<<Die>> Legende vom heiligen Trinker","Roma","XA-IT","onb9958544878003338"
"1656","9958800377903338","9788961963800","2020","Handke, Peter","kor","Die Lehre der Sainte-Victoire","<<Die>> Lehre der Sainte-Victoire","[Paju-si]","XB-KR","onb9958800377903338"
"1657","990045444440603392","9788375087680","2013","Knapp, Radek","pol","Lekcje Pana Kuki","Herrn Kukas Empfehlungen","Katowice","XA-PL","onb990045444440603392"
"1658","990045019900603392","9788651916055","2012","Okopenko, Andreas","srp","Leksikon jednog sentimentalnog putovanja do susreta izvoznika u noćnom zloduhu Drudenu","Lexikon einer sentimentalen Reise zum Exporteurtreffen in Druden","Beograd","XA-SP","onb990045019900603392"
"1660","9958507280403338","9788491810254","2018","Handke, Peter","spa","Lento regreso","Langsame Heimkehr","Madrid","XA-ES","onb9958507280403338"
"1661","990048032850603392","9789871772971","2014","Handke, Peter","spa","Lento regreso","Langsame Heimkehr","Buenos Aires","XD-AR","onb990048032850603392"
"1662","990047210690603392","9789028423329","2012","Glattauer, Daniel","dut","Leo @ Emmi","Alle sieben Wellen","Amsterdam","XA-NL","onb990047210690603392"
"1663","990045756780603392","9789955386568","2010","Glattauer, Daniel","lit","Leo ir Emi: kai pučia šiaurys","Gut gegen Nordwind","Vilnius","XA-LT","onb990045756780603392"
"1664","990045756800603392","9789955386780","2010","Glattauer, Daniel","lit","Leo ir Emi: septintoji banga","Alle sieben Wellen","Vilnius","XA-LT","onb990045756800603392"
"1666","990046155190603392","9788671881227","2010","Innerhofer, Franz","srp","Lepi dani","fail","Novi Sad","XA-SP","onb990046155190603392"
"1667","9958126351203338","9782845052253","2017","Rilke, Rainer Maria","eng","Les sonnets à Orphée","Die Sonette an Orpheus.","Coeuvres-et-Valsery","XA-FR","onb9958126351203338"
"1669","990038570360603392","9789616780353","2010","Ransmayr, Christoph","slv","Leteča gora","<<Der>> fliegende Berg","Maribor","XA-SI","onb990038570360603392"
"1670","9958893043303338","9789928323118","2020","Handke, Peter","alb","Letër e shkurtër lamtumirë e gjatë","<<Der>> kurze Brief zum langen Abschied","Tiranë","XA-AL","onb9958893043303338"
"1672","9958499268603338","9788433928450","2015","Werfel, Franz","spa","Una letra femenina azul palido","<<Eine>> blassblaue Frauenschrift","Barcelona","XA-ES","onb9958499268603338"
"1676","9958545566503338","9788831726320","2017","Hofmannsthal, Hugo ","ita","Lettera di Lord Chandos e altri scritti","fail","Venezia","XA-IT","onb9958545566503338"
"1690","990045960330603392","9788415689775","2013","Roth, Joseph","spa","El leviatán","<<Der>> Leviathan","Barcelona","XA-ES","onb990045960330603392"
"1691","9959009096203338","9788413620657","2020","Roth, Joseph","spa","El leviatán y otros relatos","fail","Madrid","XA-ES","onb9959009096203338"
"1693","990045608850603392","9788671881418","2012","Roth, Joseph","srp","Levijatan i druge novele","fail","Novi Sad","XA-SP","onb990045608850603392"
"1694","9958559157903338","9788433902337","2019","Roth, Joseph","spa","La leyenda del Santo Bebedor","<<Die>> Legende vom heiligen Trinker","Barcelona","XA-ES","onb9958559157903338"
"1696","990048744190603392","9788494164569","2014","Roth, Joseph","spa","La leyenda del Santo bebedor","<<Die>> Legende vom heiligen Trinker","Barcelona","XA-ES","onb990048744190603392"
"1697","990048047370603392","9788415139904","2013","Roth, Joseph","spa","La leyenda del santo bebedor y otras historias","<<Die>> Legende vom heiligen Trinker und andere Erzählungen","Barcelona","XA-ES","onb990048047370603392"
